state,date,weather_code,temperature_2m_min,temperature_2m_max,precipitation_sum,rain_sum,snowfall_sum
Andaman and Nicobar Islands,2004-01-01,1.0,25.983999252319336,27.283998489379883,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-01-02,0.0,25.833999633789062,27.233999252319336,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-01-03,1.0,25.783998489379883,27.233999252319336,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-01-04,1.0,25.88399887084961,27.333999633789062,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-01-05,2.0,25.983999252319336,27.533998489379883,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-01-06,1.0,26.18400001525879,27.783998489379883,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-01-07,1.0,26.233999252319336,27.733999252319336,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-01-08,0.0,26.43400001525879,28.033998489379883,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-01-09,51.0,26.38399887084961,27.783998489379883,0.10000000149011612,0.10000000149011612,0.0
Andaman and Nicobar Islands,2004-01-10,1.0,25.93400001525879,27.93400001525879,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-01-11,51.0,26.18400001525879,27.833999633789062,0.699999988079071,0.699999988079071,0.0
Andaman and Nicobar Islands,2004-01-12,53.0,25.93400001525879,27.18400001525879,1.9000000953674316,1.9000000953674316,0.0
Andaman and Nicobar Islands,2004-01-13,51.0,25.283998489379883,27.18400001525879,0.699999988079071,0.699999988079071,0.0
Andaman and Nicobar Islands,2004-01-14,51.0,25.033998489379883,27.13399887084961,0.7000000476837158,0.7000000476837158,0.0
Andaman and Nicobar Islands,2004-01-15,51.0,25.63399887084961,27.283998489379883,0.20000000298023224,0.20000000298023224,0.0
Andaman and Nicobar Islands,2004-01-16,1.0,25.63399887084961,27.483999252319336,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-01-17,1.0,25.18400001525879,27.18400001525879,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-01-18,2.0,25.18400001525879,27.083999633789062,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-01-19,1.0,25.083999633789062,27.233999252319336,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-01-20,51.0,25.43400001525879,27.283998489379883,0.10000000149011612,0.10000000149011612,0.0
Andaman and Nicobar Islands,2004-01-21,2.0,25.033998489379883,27.483999252319336,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-01-22,51.0,25.783998489379883,27.68400001525879,0.10000000149011612,0.10000000149011612,0.0
Andaman and Nicobar Islands,2004-01-23,1.0,26.38399887084961,27.783998489379883,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-01-24,51.0,25.63399887084961,27.63399887084961,0.6000000238418579,0.6000000238418579,0.0
Andaman and Nicobar Islands,2004-01-25,51.0,26.233999252319336,27.68400001525879,0.10000000149011612,0.10000000149011612,0.0
Andaman and Nicobar Islands,2004-01-26,51.0,26.083999633789062,27.18400001525879,0.9000000357627869,0.9000000357627869,0.0
Andaman and Nicobar Islands,2004-01-27,51.0,25.88399887084961,27.68400001525879,0.10000000149011612,0.10000000149011612,0.0
Andaman and Nicobar Islands,2004-01-28,2.0,26.033998489379883,27.63399887084961,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-01-29,2.0,25.88399887084961,27.88399887084961,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-01-30,1.0,25.583999633789062,27.93400001525879,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-01-31,2.0,25.833999633789062,28.033998489379883,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-02-01,51.0,26.13399887084961,28.083999633789062,0.699999988079071,0.699999988079071,0.0
Andaman and Nicobar Islands,2004-02-02,53.0,25.583999633789062,27.033998489379883,3.700000047683716,3.700000047683716,0.0
Andaman and Nicobar Islands,2004-02-03,51.0,26.033998489379883,28.033998489379883,0.4000000059604645,0.4000000059604645,0.0
Andaman and Nicobar Islands,2004-02-04,3.0,26.033998489379883,28.13399887084961,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-02-05,2.0,25.533998489379883,27.583999633789062,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-02-06,2.0,24.783998489379883,27.38399887084961,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-02-07,51.0,24.93400001525879,27.38399887084961,0.9000000357627869,0.9000000357627869,0.0
Andaman and Nicobar Islands,2004-02-08,1.0,25.483999252319336,27.533998489379883,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-02-09,1.0,24.983999252319336,27.43400001525879,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-02-10,51.0,25.88399887084961,27.733999252319336,0.10000000149011612,0.10000000149011612,0.0
Andaman and Nicobar Islands,2004-02-11,53.0,25.13399887084961,26.733999252319336,3.1000001430511475,3.1000001430511475,0.0
Andaman and Nicobar Islands,2004-02-12,51.0,25.083999633789062,28.13399887084961,0.20000000298023224,0.20000000298023224,0.0
Andaman and Nicobar Islands,2004-02-13,1.0,26.033998489379883,28.033998489379883,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-02-14,1.0,26.233999252319336,28.033998489379883,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-02-15,1.0,25.583999633789062,27.783998489379883,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-02-16,2.0,25.483999252319336,27.88399887084961,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-02-17,2.0,25.68400001525879,27.93400001525879,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-02-18,2.0,25.63399887084961,27.88399887084961,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-02-19,1.0,25.483999252319336,28.033998489379883,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-02-20,2.0,25.333999633789062,28.033998489379883,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-02-21,2.0,25.93400001525879,28.533998489379883,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-02-22,1.0,24.983999252319336,27.88399887084961,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-02-23,0.0,24.483999252319336,27.68400001525879,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-02-24,0.0,24.43400001525879,27.533998489379883,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-02-25,0.0,24.43400001525879,27.533998489379883,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-02-26,0.0,22.833999633789062,27.18400001525879,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-02-27,1.0,23.783998489379883,26.783998489379883,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-02-28,3.0,23.233999252319336,26.63399887084961,0.0,0.0,0.0
Andaman and Nicobar Islands,2004-02-29,1.0,21.833999633789062,26.983999252319336,0.0,0.0,0.0
