state,date,weather_code,temperature_2m_min,temperature_2m_max,precipitation_sum,rain_sum,snowfall_sum
Andaman and Nicobar Islands,1999-01-01,51.0,26.583999633789062,27.983999252319336,0.10000000149011612,0.10000000149011612,0.0
Andaman and Nicobar Islands,1999-01-02,51.0,26.083999633789062,27.93400001525879,0.10000000149011612,0.10000000149011612,0.0
Andaman and Nicobar Islands,1999-01-03,1.0,25.733999252319336,27.733999252319336,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-01-04,51.0,25.93400001525879,27.733999252319336,0.10000000149011612,0.10000000149011612,0.0
Andaman and Nicobar Islands,1999-01-05,1.0,26.38399887084961,28.033998489379883,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-01-06,1.0,25.43400001525879,27.483999252319336,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-01-07,51.0,24.283998489379883,27.083999633789062,0.5,0.5,0.0
Andaman and Nicobar Islands,1999-01-08,51.0,24.783998489379883,27.38399887084961,0.8999999761581421,0.8999999761581421,0.0
Andaman and Nicobar Islands,1999-01-09,2.0,26.533998489379883,27.43400001525879,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-01-10,51.0,25.283998489379883,27.43400001525879,0.30000001192092896,0.30000001192092896,0.0
Andaman and Nicobar Islands,1999-01-11,51.0,25.18400001525879,27.483999252319336,0.5,0.5,0.0
Andaman and Nicobar Islands,1999-01-12,51.0,25.483999252319336,27.18400001525879,1.100000023841858,1.100000023841858,0.0
Andaman and Nicobar Islands,1999-01-13,51.0,24.88399887084961,27.93400001525879,0.8999999761581421,0.8999999761581421,0.0
Andaman and Nicobar Islands,1999-01-14,53.0,24.783998489379883,26.43400001525879,5.900000095367432,5.900000095367432,0.0
Andaman and Nicobar Islands,1999-01-15,55.0,24.88399887084961,27.083999633789062,4.599999904632568,4.599999904632568,0.0
Andaman and Nicobar Islands,1999-01-16,55.0,25.13399887084961,26.983999252319336,9.0,9.0,0.0
Andaman and Nicobar Islands,1999-01-17,55.0,24.93400001525879,26.483999252319336,7.299998760223389,7.299998760223389,0.0
Andaman and Nicobar Islands,1999-01-18,51.0,25.483999252319336,27.38399887084961,0.800000011920929,0.800000011920929,0.0
Andaman and Nicobar Islands,1999-01-19,1.0,26.333999633789062,27.93400001525879,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-01-20,1.0,26.13399887084961,28.13399887084961,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-01-21,1.0,26.233999252319336,28.483999252319336,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-01-22,1.0,26.533998489379883,28.583999633789062,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-01-23,1.0,26.033998489379883,28.583999633789062,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-01-24,1.0,25.983999252319336,28.733999252319336,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-01-25,1.0,26.033998489379883,28.68400001525879,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-01-26,1.0,25.63399887084961,27.983999252319336,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-01-27,2.0,25.68400001525879,27.533998489379883,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-01-28,53.0,25.63399887084961,27.983999252319336,1.100000023841858,1.100000023841858,0.0
Andaman and Nicobar Islands,1999-01-29,53.0,25.483999252319336,26.483999252319336,3.4000000953674316,3.4000000953674316,0.0
Andaman and Nicobar Islands,1999-01-30,61.0,24.983999252319336,26.483999252319336,16.19999885559082,16.19999885559082,0.0
Andaman and Nicobar Islands,1999-01-31,51.0,25.083999633789062,27.583999633789062,3.000000238418579,3.000000238418579,0.0
Andaman and Nicobar Islands,1999-02-01,61.0,25.13399887084961,26.083999633789062,16.400001525878906,16.400001525878906,0.0
Andaman and Nicobar Islands,1999-02-02,53.0,24.983999252319336,27.983999252319336,1.2000000476837158,1.2000000476837158,0.0
Andaman and Nicobar Islands,1999-02-03,1.0,25.18400001525879,28.233999252319336,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-02-04,51.0,25.63399887084961,27.483999252319336,2.8000001907348633,2.8000001907348633,0.0
Andaman and Nicobar Islands,1999-02-05,55.0,25.18400001525879,26.833999633789062,6.899999618530273,6.899999618530273,0.0
Andaman and Nicobar Islands,1999-02-06,1.0,26.483999252319336,28.283998489379883,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-02-07,1.0,26.88399887084961,28.13399887084961,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-02-08,2.0,26.88399887084961,28.083999633789062,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-02-09,1.0,26.983999252319336,28.483999252319336,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-02-10,2.0,26.733999252319336,28.43400001525879,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-02-11,51.0,26.583999633789062,28.583999633789062,0.10000000149011612,0.10000000149011612,0.0
Andaman and Nicobar Islands,1999-02-12,51.0,26.983999252319336,28.733999252319336,0.7000000476837158,0.7000000476837158,0.0
Andaman and Nicobar Islands,1999-02-13,53.0,25.783998489379883,27.43400001525879,3.1999995708465576,3.1999995708465576,0.0
Andaman and Nicobar Islands,1999-02-14,53.0,25.13399887084961,27.63399887084961,2.5999999046325684,2.5999999046325684,0.0
Andaman and Nicobar Islands,1999-02-15,53.0,26.333999633789062,27.93400001525879,3.0,3.0,0.0
Andaman and Nicobar Islands,1999-02-16,51.0,26.483999252319336,27.733999252319336,2.0999999046325684,2.0999999046325684,0.0
Andaman and Nicobar Islands,1999-02-17,51.0,26.733999252319336,28.18400001525879,0.4000000059604645,0.4000000059604645,0.0
Andaman and Nicobar Islands,1999-02-18,0.0,24.533998489379883,28.43400001525879,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-02-19,1.0,26.283998489379883,28.583999633789062,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-02-20,0.0,26.233999252319336,28.583999633789062,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-02-21,1.0,26.533998489379883,28.483999252319336,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-02-22,51.0,25.43400001525879,28.43400001525879,1.0,1.0,0.0
Andaman and Nicobar Islands,1999-02-23,2.0,26.88399887084961,28.333999633789062,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-02-24,2.0,26.783998489379883,28.63399887084961,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-02-25,1.0,26.833999633789062,28.93400001525879,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-02-26,1.0,26.783998489379883,29.333999633789062,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-02-27,1.0,27.083999633789062,29.783998489379883,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-02-28,1.0,26.533998489379883,29.733999252319336,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-03-01,1.0,27.283998489379883,29.43400001525879,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-03-02,1.0,25.733999252319336,29.583999633789062,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-03-03,51.0,27.083999633789062,29.88399887084961,0.20000000298023224,0.20000000298023224,0.0
Andaman and Nicobar Islands,1999-03-04,1.0,25.93400001525879,29.18400001525879,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-03-05,1.0,25.783998489379883,28.38399887084961,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-03-06,1.0,25.733999252319336,28.083999633789062,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-03-07,0.0,25.533998489379883,28.283998489379883,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-03-08,1.0,23.88399887084961,27.983999252319336,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-03-09,0.0,21.13399887084961,27.93400001525879,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-03-10,1.0,23.18400001525879,28.033998489379883,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-03-11,2.0,23.63399887084961,28.033998489379883,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-03-12,3.0,25.333999633789062,28.483999252319336,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-03-13,2.0,25.18400001525879,28.533998489379883,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-03-14,2.0,26.833999633789062,29.533998489379883,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-03-15,2.0,25.983999252319336,29.283998489379883,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-03-16,3.0,26.38399887084961,29.233999252319336,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-03-17,3.0,26.033998489379883,29.18400001525879,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-03-18,1.0,24.93400001525879,28.93400001525879,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-03-19,1.0,25.833999633789062,28.533998489379883,0.0,0.0,0.0
Andaman and Nicobar Islands,1999-03-20,2.0,26.233999252319336,28.88399887084961,0.0,0.0,0.0
